cluster,lat,lng
-1.0,40.74346521231675,-73.95888712082105
0.0,40.78229028571429,-73.95582457142858
1.0,40.782080746031745,-73.97545077777778
2.0,40.735663680746626,-74.00007019842846
3.0,40.753909034482774,-73.9846848965517
4.0,40.77538930188681,-73.98119183744555
5.0,40.79227225,-73.97361576666667
6.0,40.802374727272735,-73.96741583732056
7.0,40.748408551724125,-73.97333577586205
8.0,40.775478476394866,-73.9568666480687
9.0,40.71699625000001,-73.956501
10.0,40.746636645940484,-73.98284997360788
11.0,40.77538562626265,-73.95358137979792
12.0,40.717755492307674,-74.00865415384615
13.0,40.75782633333333,-73.98985766666665
14.0,40.723491583333335,-74.00617983333333
15.0,40.72124511688311,-73.9971512857143
16.0,40.764646000000006,-73.98821902719034
17.0,40.76041633333333,-73.98747266666666
18.0,40.72396922031471,-73.98618692846917
19.0,40.77372337037037,-73.87084511111111
20.0,40.73938103577233,-74.005898900813
21.0,40.72376324999998,-74.00310216666666
22.0,40.771105588235294,-73.86583029411764
23.0,40.72061390816326,-74.00493820408163
24.0,40.759556829787215,-73.99558552482272
25.0,40.75250723999999,-73.98362236
26.0,40.79372845,-73.97053770000001
27.0,40.72172316666667,-74.00181708333332
28.0,40.772997399999994,-73.98945920000001
29.0,40.71942817241379,-74.0022254137931
30.0,40.70528998333334,-74.00971996666667
31.0,40.72716525552829,-73.98939058476658
32.0,40.78047085714286,-73.9468777142857
33.0,40.69619149999999,-73.99155490000001
34.0,40.755098749999995,-73.99868774999999
35.0,40.74733628571429,-74.00798271428572
36.0,40.719436,-73.95602166666666
37.0,40.732296363636365,-73.99630200000001
38.0,40.751415669565226,-73.99412723478262
39.0,40.71783333333334,-73.957719
40.0,40.72735757142857,-74.00546614285716
41.0,40.75768889900249,-73.96629592892755
42.0,40.7251,-74.000224125
43.0,40.77008615384615,-73.9805303076923
44.0,40.71168266666667,-74.00740833333333
45.0,40.752153368421055,-74.00410831578948
46.0,40.657213,-73.7945025
47.0,40.776122911111116,-73.96110197777777
48.0,40.712010666666664,-74.00641616666668
49.0,40.76552504347826,-73.96085847826086
50.0,40.75639953658536,-73.99416208536586
51.0,40.78599934693878,-73.95299842857142
52.0,40.74766102380952,-74.00417802380952
53.0,40.791130911111104,-73.9763207111111
54.0,40.75106428571428,-73.94022142857143
55.0,40.76763736363636,-73.9621011818182
56.0,40.72432577777778,-73.99764755555556
57.0,40.75779864285714,-73.98209692857144
58.0,40.73622217500001,-73.97903073749998
59.0,40.64470439130435,-73.78197276086954
60.0,40.74363937037036,-74.00683160493827
61.0,40.692343199999996,-73.9889678
62.0,40.76411134905659,-73.9675971226415
63.0,40.765169072727275,-73.96396778181817
64.0,40.7889062,-73.97788080000001
65.0,40.763846145833334,-73.98603775000004
66.0,40.750549,-73.988998
67.0,40.72175942857143,-73.99974385714286
68.0,40.714439375,-73.95768924999999
69.0,40.70817350000001,-74.00329200000002
70.0,40.776966,-73.95973733333334
71.0,40.790177666666665,-73.95207733333335
72.0,40.72761122222222,-73.97936214814816
73.0,40.718553642857145,-74.00068442857142
74.0,40.73402940909091,-74.00450654545453
75.0,40.786917789473684,-73.9778125263158
76.0,40.68926877777778,-73.98106155555556
77.0,40.762370189189184,-73.99814920270272
78.0,40.762550318181816,-73.96582663636364
79.0,40.7021964,-74.01259940000001
80.0,40.794706000000005,-73.962572
81.0,40.68695825,-73.99035675
82.0,40.786461333333335,-73.97595613333333
83.0,40.77666246428571,-73.94665807142856
84.0,40.707390714285715,-74.01216014285714
85.0,40.72504393333334,-73.981256
86.0,40.78888091489361,-73.97608472340424
87.0,40.770309499999996,-73.86480325
